cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00036409,Glenn S Grothman (R-Wis),481016,1290000,885508,2014,H,Center for Responsive Politics,,306
N00006267,Mike Crapo (R-Idaho),484278,1283274,883776,2014,S,Center for Responsive Politics,,307
N00030771,Paul Gosar (R-Ariz),515003,1249999,882501,2014,H,Center for Responsive Politics,,308
N00030673,Bill Huizenga (R-Mich),525015,1202000,863507,2014,H,Center for Responsive Politics,,309
N00021207,Rick Nolan (D-Minn),518008,1195000,856504,2014,H,Center for Responsive Politics,,310
N00030801,Frank Guinta (R-NH),46024,1661996,854010,2014,H,Center for Responsive Politics,,311
N99999918,Clarence Thomas,470011,1235000,852505,2014,J,Center for Responsive Politics,,312
N00024992,Tim Murphy (R-Pa),389039,1310000,849519,2014,H,Center for Responsive Politics,,313
N00008122,Eddie Bernice Johnson (D-Texas),531004,1115000,823002,2014,H,Center for Responsive Politics,,314
N00012546,Luke Messer (R-Ind),282038,1349998,816018,2014,H,Center for Responsive Politics,,315
N00031741,Todd Rokita (R-Ind),-945,1619996,809525,2014,H,Center for Responsive Politics,,316
N00026586,Joe Donnelly (D-Ind),186011,1425998,806004,2014,S,Center for Responsive Politics,,317
N00003689,Steve Chabot (R-Ohio),397025,1180000,788512,2014,H,Center for Responsive Politics,,318
N00033390,Cheri Bustos (D-Ill),357028,1205000,781014,2014,H,Center for Responsive Politics,,319
N00001093,Charles E Schumer (D-NY),438016,1120000,779008,2014,S,Center for Responsive Politics,,320
N00034277,Sean Patrick Maloney (D-NY),502003,1030000,766001,2014,H,Center for Responsive Politics,,321
N00030736,John Carney (D-Del),319040,1211000,765020,2014,H,Center for Responsive Politics,,322
N00003288,Bennie G Thompson (D-Miss),369025,1161000,765012,2014,H,Center for Responsive Politics,,323
N00026926,Jerry McNerney (D-Calif),501004,1017000,759002,2014,H,Center for Responsive Politics,,324
N00033982,Martha McSally (R-Ariz),362037,1149000,755518,2014,H,Center for Responsive Politics,,325
N00031141,Steve Fincher (R-Tenn),500001,1000000,750000,2014,H,Center for Responsive Politics,,326
N00030645,Dennis Ross (R-Fla),-3514998,4989999,737500,2014,H,Center for Responsive Politics,,327
N00001102,Nydia M Velazquez (D-NY),485001,990000,737500,2014,H,Center for Responsive Politics,,328
N00027464,Bruce Braley (D-Iowa),370020,1100000,735010,2014,H,Center for Responsive Politics,,329
N00032088,Bill Johnson (R-Ohio),323029,1095000,709014,2014,H,Center for Responsive Politics,,330
N00029077,Lynn Jenkins (R-Kan),323015,1094999,709007,2014,H,Center for Responsive Politics,,331
N00000362,Jack Reed (D-RI),181062,1198000,689531,2014,S,Center for Responsive Politics,,332
N00036158,Bonnie Coleman (D-NJ),250003,1119997,685000,2014,H,Center for Responsive Politics,,333
N00013855,Stephen F Lynch (D-Mass),-21982,1381997,680007,2014,H,Center for Responsive Politics,,334
N00035825,Ted Lieu (D-Calif),295039,1062000,678519,2014,H,Center for Responsive Politics,,335
N00030910,Mo Brooks (R-Ala),283040,1072000,677520,2014,H,Center for Responsive Politics,,336
N00036928,Don Donovan (R-NY),365007,985999,675503,2014,H,Center for Responsive Politics,,337
N00035616,Ryan K Zinke (R-Mont),101007,1249997,675502,2014,H,Center for Responsive Politics,,338
N00030490,Marcia L Fudge (D-Ohio),106011,1239998,673004,2014,H,Center for Responsive Politics,,339
N00035391,Mimi Walters (R-Calif),231008,1114999,673003,2014,H,Center for Responsive Politics,,340
N00032441,Richard Nugent (R-Fla),242538,1099525,671031,2014,H,Center for Responsive Politics,,341
N00027503,Bob Casey (D-Pa),335018,1002000,668509,2014,S,Center for Responsive Politics,,342
N00033030,Jared Huffman (D-Calif),-315951,1636998,660523,2014,H,Center for Responsive Politics,,343
N00006806,Janice Hahn (D-Calif),290024,1025000,657512,2014,H,Center for Responsive Politics,,344
N00026335,Daniel Webster (R-Fla),384008,910000,647004,2014,H,Center for Responsive Politics,,345
N00024978,Henry Cuellar (D-Texas),30017,1260998,645507,2014,H,Center for Responsive Politics,,346
N00008264,Ed Royce (R-Calif),346017,941000,643508,2014,H,Center for Responsive Politics,,347
N00003105,Marsha Blackburn (R-Tenn),346016,940000,643008,2014,H,Center for Responsive Politics,,348
N00024809,Joe Wilson (R-SC),-529990,1814993,642501,2014,H,Center for Responsive Politics,,349
N00036013,Dave Brat (R-Va),337014,930000,633507,2014,H,Center for Responsive Politics,,350
